GID,Private,Tree ID,Admin Area,Side of Street,On Street,From Street,To Street,Street_Name,Situs Number,Address Estimated,Lot Side,Serial Number,Tree Site,Species,Trim Cycle,Diameter at Breast Ht,Trunk Count,Height Code,Canopy Width,Trunk Condition,Structure Condition,Crown Condition,Pest Condition,Condition Calced,Condition Rating,Vigor,Cable Presence,Stake Presence,Grow Space,Utility Presence,Distance from Property,Inventory Date,Staff Name,Comments,Zip,City Name,Longitude,Latitude,Protected,Designated,Heritage,Appraised Value,Hardscape,Identifier,Location Feature ID,Install Date,Feature Name,KML,FusionMarkerIcon
58,True,58,,,ADDISON AV,BRYANT ST,SCOTT ST,ADDISON AV,319,,Front,,3,Celtis australis,Large Tree Routine Prune,11,1,30-35,15-30,Fair,Fair,5,,,Good,2,False,False,Planting Strip,,38,6/10/2010,JM,root damage,,Palo Alto,-122.1550936,37.4423922,False,False,False,,Low,67,20376,,"Tree: 58 site 3 at 319 ADDISON AV, on ADDISON AV 38 from pl","<Point><coordinates>-122.155061,37.4424</coordinates></Point>",small_green
59,True,59,,,ADDISON AV,BRYANT ST,WAVERLEY ST,ADDISON AV,326,,Front,,1,Celtis australis,Large Tree Routine Prune,19,1,35-40,15-30,Fair,Fair,5,,,Good,2,False,False,Planting Strip,,50,6/9/2010,BK,,,Palo Alto,-122.1549382,37.4423275,False,False,False,,None,69,110,,"Tree: 59 site 1 at 326 ADDISON AV, on ADDISON AV 50 from pl","<Point><coordinates>-122.154906,37.442335</coordinates></Point>",small_green
60,True,60,,,ADDISON AV,BRYANT ST,WAVERLEY ST,ADDISON AV,326,,Front,,2,Liquidambar styraciflua,Priority 2 Prune,17,1,40-45,15-30,Fair,Fair,5,,,Fair,2,False,False,Planting Strip,,20,6/9/2010,BK,lost main leader; cavity or decay;,,Palo Alto,-122.1548741,37.4423922,False,False,False,,None,70,110,,"Tree: 60 site 2 at 326 ADDISON AV, on ADDISON AV 20 from pl","<Point><coordinates>-122.154841,37.4424</coordinates></Point>",small_green
61,True,61,,,ADDISON AV,BRYANT ST,SCOTT ST,ADDISON AV,327,,Front,,2,Pistacia chinensis,Large Tree Routine Prune,7,1,25-30,15-30,Good,Good,5,,,Good,2,False,False,Planting Strip,,26,6/10/2010,RR,,,Palo Alto,-122.1550071,37.4424795,False,False,False,,None,71,11,,"Tree: 61 site 2 at 327 ADDISON AV, on ADDISON AV 26 from pl","<Point><coordinates>-122.154974,37.442487</coordinates></Point>",small_green
62,True,62,,,ADDISON AV,BRYANT ST,SCOTT ST,ADDISON AV,327,,Front,,3,Liquidambar styraciflua,Priority 2 Prune,17,1,45-50,15-30,Fair,Fair,5,,,Good,2,False,False,Planting Strip,,41,6/10/2010,BK,,,Palo Alto,-122.154975,37.4425118,False,False,False,,None,72,11,,"Tree: 62 site 3 at 327 ADDISON AV, on ADDISON AV 41 from pl","<Point><coordinates>-122.154942,37.442519</coordinates></Point>",small_green
63,True,63,,,ADDISON AV,BRYANT ST,SCOTT ST,ADDISON AV,327,,Front,,4,Liquidambar styraciflua,Large Tree Routine Prune,21,1,55-60,30-45,Fair,Fair,5,,,Good,2,False,False,Planting Strip,,55,6/10/2010,BK,borers; slime flux; cavity or decay;,,Palo Alto,-122.1549451,37.442542,False,False,False,,None,73,11,,"Tree: 63 site 4 at 327 ADDISON AV, on ADDISON AV 55 from pl","<Point><coordinates>-122.154913,37.442549</coordinates></Point>",small_green
64,True,64,,,SCOTT ST,DEADEND,ADDISON AV,ADDISON AV,327,,Right,,3,Pistacia chinensis,Large Tree Routine Prune,6,1,20-25,15-30,Good,Good,5,,,Good,2,False,False,Planting Strip,,14,6/10/2010,JM,,,Palo Alto,-122.1549751,37.4425959,False,False,False,,None,74,11,,"Tree: 64 site 3 at 327 ADDISON AV, on SCOTT ST 14 from pl","<Point><coordinates>-122.154943,37.442603</coordinates></Point>",small_green
65,True,65,,,SCOTT ST,DEADEND,ADDISON AV,ADDISON AV,327,,Right,,1,Liquidambar styraciflua,Large Tree Routine Prune,14,1,45-50,15-30,Fair,Fair,5,,,Good,2,False,False,Planting Strip,,77,6/10/2010,BK,,,Palo Alto,-122.1551454,37.4427032,False,False,False,,None,75,11,,"Tree: 65 site 1 at 327 ADDISON AV, on SCOTT ST 77 from pl","<Point><coordinates>-122.155113,37.44271</coordinates></Point>",small_green
66,True,66,,,SCOTT ST,DEADEND,ADDISON AV,ADDISON AV,327,,Right,,2,Liquidambar styraciflua,Large Tree Routine Prune,15,1,40-45,15-30,Fair,Fair,5,,,Good,2,False,False,Planting Strip,,54,6/10/2010,BK,,,Palo Alto,-122.1550832,37.442664,False,False,False,,None,76,11,,"Tree: 66 site 2 at 327 ADDISON AV, on SCOTT ST 54 from pl","<Point><coordinates>-122.155051,37.442671</coordinates></Point>",small_green
67,True,67,,,ADDISON AV,BRYANT ST,WAVERLEY ST,ADDISON AV,350,,Front,,1,Liquidambar styraciflua,Large Tree Routine Prune,21,1,55-60,15-30,Fair,Fair,5,,,Good,2,False,False,Planting Strip,,49,6/9/2010,BK,root decay,,Palo Alto,-122.1547758,37.4424913,False,False,False,,None,78,103,,"Tree: 67 site 1 at 350 ADDISON AV, on ADDISON AV 49 from pl","<Point><coordinates>-122.154743,37.442499</coordinates></Point>",small_green
68,True,68,,,ADDISON AV,BRYANT ST,WAVERLEY ST,ADDISON AV,350,,Front,,2,Liquidambar styraciflua,Large Tree Routine Prune,22,1,50-55,15-30,Fair,Fair,5,,,Good,2,False,False,Planting Strip,,17,6/9/2010,BK,root decay,,Palo Alto,-122.1547075,37.4425602,False,False,False,,None,79,103,,"Tree: 68 site 2 at 350 ADDISON AV, on ADDISON AV 17 from pl","<Point><coordinates>-122.154675,37.442567</coordinates></Point>",small_green
69,True,69,,,ADDISON AV,SCOTT ST,WAVERLEY ST,ADDISON AV,353,,Front,,4,Liquidambar styraciflua,Large Tree Routine Prune,20,1,50-55,30-45,Fair,Fair,4,,,Good,1,False,False,Planting Strip,,28,6/10/2010,DS,HOLLOW AT BASE OF TREE; upper limb damage,,Palo Alto,-122.1547679,37.4427208,False,False,False,,Low,80,20387,,"Tree: 69 site 4 at 353 ADDISON AV, on ADDISON AV 28 from pl","<Point><coordinates>-122.154735,37.442728</coordinates></Point>",small_green
70,True,70,,,SCOTT ST,DEADEND,ADDISON AV,SCOTT ST,353,,Left,,1,Liquidambar styraciflua,Large Tree Routine Prune,21,1,50-55,15-30,Poor,Poor,5,,,Good,2,False,False,Planting Strip,,23,6/10/2010,BK,basal decay; codominant leaders; included bark; trunk wounds;,,Palo Alto,-122.1549789,37.4427383,False,False,False,,None,81,20387,,"Tree: 70 site 1 at 353 SCOTT ST, on SCOTT ST 23 from pl","<Point><coordinates>-122.154946,37.442746</coordinates></Point>",small_green
71,True,71,,,SCOTT ST,DEADEND,ADDISON AV,SCOTT ST,353,,Left,,2,Pistacia chinensis,Small Tree Routine Prune,2,1,15-20,0-15,Good,Good,5,,,Good,3,False,True,Planting Strip,,56,6/10/2010,RR,loose stake; leaning slightly,,Palo Alto,-122.1548897,37.4426821,False,False,False,,None,82,20387,,"Tree: 71 site 2 at 353 SCOTT ST, on SCOTT ST 56 from pl","<Point><coordinates>-122.154857,37.442689</coordinates></Point>",small_green
72,True,72,,,ADDISON AV,BRYANT ST,WAVERLEY ST,ADDISON AV,358,,Front,,1,Liquidambar styraciflua,Large Tree Routine Prune,16,1,30-35,15-30,Fair,Fair,5,,,Fair,2,False,False,Planting Strip,,43,6/9/2010,BK,"crown dieback;  included bark; fenced, construction site",,Palo Alto,-122.1546242,37.4426443,False,False,False,,None,83,107,,"Tree: 72 site 1 at 358 ADDISON AV, on ADDISON AV 43 from pl","<Point><coordinates>-122.154592,37.442652</coordinates></Point>",small_green
73,True,73,,,ADDISON AV,BRYANT ST,WAVERLEY ST,ADDISON AV,358,,Front,,2,Liquidambar styraciflua,Large Tree Routine Prune,18,1,30-35,30-45,Fair,Fair,5,,,Good,2,False,False,Planting Strip,,11,6/9/2010,BK,"root decay; fenced, construction site",,Palo Alto,-122.1555117,37.4434842,False,False,False,,None,84,107,,"Tree: 73 site 2 at 358 ADDISON AV, on ADDISON AV 11 from pl","<Point><coordinates>-122.155479,37.443492</coordinates></Point>",small_green
74,False,74,29,,ADDISON AV,SCOTT ST,WAVERLEY ST,ADDISON AV,361,,F,,1,OBSOLETE SITE,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,True,True,3,0,21,5/7/2008,EFS,Insufficient space for street tree.,,Palo Alto,-122.154676,37.4428135,False,False,False,,None,85,20390,,"Tree: 74 site 1 at 361 ADDISON AV, on ADDISON AV 21 from pl","<Point><coordinates>-122.154643,37.442821</coordinates></Point>",small_green
75,True,75,,,ADDISON AV,SCOTT ST,WAVERLEY ST,ADDISON AV,361,,Front,,1,Magnolia grandiflora,Large Tree Routine Prune,14,1,35-40,15-30,Fair,Fair,5,,,Good,2,False,False,Planting Strip,,44,6/10/2010,BK,root damage,,Palo Alto,-122.1546269,37.442863,False,False,False,,Low,86,20390,,"Tree: 75 site 1 at 361 ADDISON AV, on ADDISON AV 44 from pl","<Point><coordinates>-122.154594,37.44287</coordinates></Point>",small_green
76,True,76,,,ADDISON AV,SCOTT ST,WAVERLEY ST,ADDISON AV,367,,Front,,2,Magnolia grandiflora,Large Tree Routine Prune,16,1,30-35,15-30,Fair,Good,3,,,Fair,1,False,False,Planting Strip,,41,6/10/2010,BK,minor root damage; older foliage wilted,,Palo Alto,-122.1545265,37.4429643,False,False,False,,None,87,20389,,"Tree: 76 site 2 at 367 ADDISON AV, on ADDISON AV 41 from pl","<Point><coordinates>-122.154494,37.442972</coordinates></Point>",small_green
77,True,77,,,ADDISON AV,BRYANT ST,WAVERLEY ST,ADDISON AV,370,,Front,,1,Celtis australis,Large Tree Routine Prune,15,1,35-40,15-30,Good,Good,5,,,Good,2,False,False,Planting Strip,,27,6/9/2010,JM,,,Palo Alto,-122.1544832,37.4427865,False,False,False,,Low,88,83,,"Tree: 77 site 1 at 370 ADDISON AV, on ADDISON AV 27 from pl","<Point><coordinates>-122.154451,37.442794</coordinates></Point>",small_green
78,True,78,,,WAVERLEY ST,CHANNING AV,ADDISON AV,WAVERLEY ST,990,,Left,,1,Magnolia grandiflora,Large Tree Routine Prune,30,1,45-50,30-45,Poor,Fair,5,,,Poor,2,False,False,Planting Strip,,42,6/16/2010,BK,root damage; crown dieback;,,Palo Alto,-122.1544634,37.4432361,False,False,False,,None,89,95,,"Tree: 78 site 1 at 990 WAVERLEY ST, on WAVERLEY ST 42 from pl","<Point><coordinates>-122.154431,37.443243</coordinates></Point>",small_green
79,False,79,29,,WAVERLEY ST,CHANNING AV,ADDISON AV,ADDISON AV,373,,S,,1,Jacaranda mimosifolia,,3,0,15,15,5,5,5,3,,Good,2,True,True,3,7,50,6/7/1989,BK,,,Palo Alto,-122.1543972,37.4430872,False,False,False,,None,90,,,"Tree: 79 site 1 at 373 ADDISON AV, on WAVERLEY ST 50 from pl","<Point><coordinates>-122.154365,37.443095</coordinates></Point>",small_green
80,False,80,29,,WAVERLEY ST,CHANNING AV,ADDISON AV,ADDISON AV,373,,S,,2,Stump,,3,0,-1,-1,-1,-1,-1,-1,,-1,-1,True,True,3.0,7,46,4/29/2004,JM,,,Palo Alto,-122.1544271,37.4430624,False,False,False,,None,91,,,"Tree: 80 site 2 at 373 ADDISON AV, on WAVERLEY ST 46 from pl","<Point><coordinates>-122.154394,37.44307</coordinates></Point>",small_green
81,False,81,29,,WAVERLEY ST,CHANNING AV,ADDISON AV,ADDISON AV,373,,S,,3,Magnolia grandiflora,,18,0,45,30,5,5,5,3,,Good,2,True,True,3,7,23,6/7/1989,BK,,,Palo Alto,-122.1544585,37.4430282,False,False,False,,None,92,,,"Tree: 81 site 3 at 373 ADDISON AV, on WAVERLEY ST 23 from pl","<Point><coordinates>-122.154426,37.443036</coordinates></Point>",small_green
82,True,82,,,ADDISON AV,BRYANT ST,WAVERLEY ST,ADDISON AV,376,,Front,,1,Magnolia grandiflora,Large Tree Routine Prune,17,1,35-40,15-30,Fair,Fair,5,,,Fair,2,False,False,Planting Strip,,38,6/9/2010,BK,root decay,,Palo Alto,-122.1543999,37.4428705,False,False,False,,Low,93,82,,"Tree: 82 site 1 at 376 ADDISON AV, on ADDISON AV 38 from pl","<Point><coordinates>-122.154367,37.442878</coordinates></Point>",small_green
83,True,83,,,ADDISON AV,BRYANT ST,WAVERLEY ST,ADDISON AV,376,,Front,,2,Magnolia grandiflora,Large Tree Routine Prune,22,1,40-45,30-45,Fair,Fair,5,,,Good,2,False,False,Planting Strip,,13,6/9/2010,BK,root decay,,Palo Alto,-122.1543465,37.4429244,False,False,False,,Low,94,82,,"Tree: 83 site 2 at 376 ADDISON AV, on ADDISON AV 13 from pl","<Point><coordinates>-122.154314,37.442932</coordinates></Point>",small_green
84,True,84,,,ADDISON AV,WAVERLEY ST,COWPER ST,ADDISON AV,420,,Front,,1,Magnolia grandiflora,Large Tree Routine Prune,10,1,20-25,15-30,Good,Good,5,,,Good,2,False,False,Planting Strip,,33,6/8/2010,BC,,,Palo Alto,-122.1538339,37.4434415,False,False,False,,None,95,76,,"Tree: 84 site 1 at 420 ADDISON AV, on ADDISON AV 33 from pl","<Point><coordinates>-122.153801,37.443449</coordinates></Point>",small_green
85,True,85,,,ADDISON AV,WAVERLEY ST,COWPER ST,ADDISON AV,425,,Front,,1,Magnolia grandiflora,Large Tree Routine Prune,11,1,30-35,15-30,Fair,Fair,5,,,Fair,2,False,False,Planting Strip,,4,6/16/2010,BC,thin crown; buttress not visible; remove ivy,,Palo Alto,-122.15389,37.4436064,False,False,False,,None,96,179,,"Tree: 85 site 1 at 425 ADDISON AV, on ADDISON AV 4 from pl","<Point><coordinates>-122.153857,37.443614</coordinates></Point>",small_green
86,True,86,,,ADDISON AV,WAVERLEY ST,COWPER ST,ADDISON AV,425,,Front,,2,Tilia tomentosa 'Green Mountain',Small Tree Routine Prune,1,1,0-5,0-15,Good,Good,-1,,,Good,-1,False,True,Planting Strip,,54,6/16/2010,FG,,,Palo Alto,-122.1537832,37.4437141,False,False,False,,None,97,179,,"Tree: 86 site 2 at 425 ADDISON AV, on ADDISON AV 54 from pl","<Point><coordinates>-122.153751,37.443721</coordinates></Point>",small_green
87,True,87,,,ADDISON AV,WAVERLEY ST,COWPER ST,ADDISON AV,430,,Front,,1,Stump,Stump Removal,5,1,0-5,,,,3,,,,1,False,False,Planting Strip,,35,8/27/2010,JCM,,,Palo Alto,-122.1537314,37.4435449,False,False,False,,None,98,111,,"Tree: 87 site 1 at 430 ADDISON AV, on ADDISON AV 35 from pl","<Point><coordinates>-122.153699,37.443552</coordinates></Point>",small_green
88,True,88,,,ADDISON AV,WAVERLEY ST,COWPER ST,ADDISON AV,438,,Front,,1,Magnolia grandiflora,Priority 2 Prune,15,1,35-40,15-30,Fair,Fair,5,,,Fair,2,False,False,Planting Strip,,28,6/8/2010,BK,"4"" dbh limb w/ large crack; thinning crown; root damage;",,Palo Alto,-122.1536096,37.4436677,False,False,False,,None,99,200,,"Tree: 88 site 1 at 438 ADDISON AV, on ADDISON AV 28 from pl","<Point><coordinates>-122.153577,37.443675</coordinates></Point>",small_green
89,True,89,,,ADDISON AV,WAVERLEY ST,COWPER ST,ADDISON AV,448,,Front,,1,Vacant site (medium tree),Plant,0,0,,,,,-1,,,,-1,False,False,Planting Strip,,81,6/8/2010,EFS,Irrigation line crosses site perpendicular to curb.,,Palo Alto,-122.1535092,37.443769,False,False,False,,None,100,163,,"Tree: 89 site 1 at 448 ADDISON AV, on ADDISON AV 81 from pl","<Point><coordinates>-122.153477,37.443776</coordinates></Point>",small_green
90,True,90,,,ADDISON AV,WAVERLEY ST,COWPER ST,ADDISON AV,448,,Front,,2,Acer macrophyllum,Large Tree Routine Prune,10,1,25-30,15-30,Fair,Fair,5,,,Good,2,False,False,Planting Strip,,46,6/8/2010,JM,,,Palo Alto,-122.1534345,37.4438444,False,False,False,,None,101,163,,"Tree: 90 site 2 at 448 ADDISON AV, on ADDISON AV 46 from pl","<Point><coordinates>-122.153402,37.443852</coordinates></Point>",small_green
91,True,91,,,ADDISON AV,WAVERLEY ST,COWPER ST,ADDISON AV,448,,Front,,3,Acer macrophyllum,Large Tree Routine Prune,9,1,20-25,15-30,Good,Good,5,,,Good,2,False,False,Planting Strip,,16,6/8/2010,JM,small prev. failure,,Palo Alto,-122.1533704,37.4439091,False,False,False,,Low,102,163,,"Tree: 91 site 3 at 448 ADDISON AV, on ADDISON AV 16 from pl","<Point><coordinates>-122.153338,37.443916</coordinates></Point>",small_green
92,True,92,,,ADDISON AV,WAVERLEY ST,COWPER ST,ADDISON AV,453,,Front,,2,Acer rubrum,Large Tree Routine Prune,4,1,15-20,15-30,Good,Good,5,,,Good,2,False,False,Planting Strip,,34,6/16/2010,BC,,,Palo Alto,-122.1536123,37.4438865,False,False,False,,None,103,21189,,"Tree: 92 site 2 at 453 ADDISON AV, on ADDISON AV 34 from pl","<Point><coordinates>-122.15358,37.443894</coordinates></Point>",small_green
93,True,93,,,ADDISON AV,WAVERLEY ST,COWPER ST,ADDISON AV,463,,Front,,1,Magnolia grandiflora,Large Tree Routine Prune,17,1,35-40,15-30,Fair,Fair,3,,,Fair,1,False,False,Planting Strip,,18,6/16/2010,BK,root damage;  crown dieback;,,Palo Alto,-122.1535397,37.4439597,False,False,False,,None,104,189,,"Tree: 93 site 1 at 463 ADDISON AV, on ADDISON AV 18 from pl","<Point><coordinates>-122.153507,37.443967</coordinates></Point>",small_green
94,True,94,,,ADDISON AV,WAVERLEY ST,COWPER ST,ADDISON AV,463,,Front,,2,Magnolia grandiflora,Large Tree Routine Prune,15,1,30-35,15-30,Fair,Fair,3,,,Fair,1,False,False,Planting Strip,,36,6/16/2010,BK,crown dieback;  trunk wounds; topped; borers;,,Palo Alto,-122.1535012,37.4439985,False,False,False,,None,105,189,,"Tree: 94 site 2 at 463 ADDISON AV, on ADDISON AV 36 from pl","<Point><coordinates>-122.153469,37.444006</coordinates></Point>",small_green
95,True,95,,,ADDISON AV,WAVERLEY ST,COWPER ST,ADDISON AV,471,,Front,,1,Acer macrophyllum,Large Tree Routine Prune,6,2,20-25,15-30,Good,Good,5,,,Good,2,False,False,Planting Strip,,16,6/16/2010,DME,"fenced, construction site",,Palo Alto,-122.1534371,37.4440632,False,False,False,,Low,106,169,,"Tree: 95 site 1 at 471 ADDISON AV, on ADDISON AV 16 from pl","<Point><coordinates>-122.153404,37.44407</coordinates></Point>",small_green
96,True,96,,,ADDISON AV,WAVERLEY ST,COWPER ST,ADDISON AV,471,,Front,,2,Magnolia grandiflora,Large Tree Routine Prune,16,1,35-40,15-30,Fair,Fair,1,,,Fair,0,False,False,Planting Strip,,40,6/16/2010,DME,"thinning crown; epicormics; enced, construction site",,Palo Alto,-122.1533859,37.4441149,False,False,False,,None,107,169,,"Tree: 96 site 2 at 471 ADDISON AV, on ADDISON AV 40 from pl","<Point><coordinates>-122.153353,37.444122</coordinates></Point>",small_green
97,True,97,,,ADDISON AV,WAVERLEY ST,COWPER ST,ADDISON AV,483,,Front,,1,Magnolia grandiflora,Large Tree Routine Prune,14,1,35-40,15-30,Fair,Fair,1,,,Good,0,False,False,Planting Strip,,1,6/16/2010,BK,"cavity or decay; fenced, construction site",,Palo Alto,-122.1533624,37.4441386,False,False,False,,None,108,170,,"Tree: 97 site 1 at 483 ADDISON AV, on ADDISON AV 1 from pl","<Point><coordinates>-122.15333,37.444146</coordinates></Point>",small_green
98,True,98,,,ADDISON AV,WAVERLEY ST,COWPER ST,ADDISON AV,483,,Front,,2,Magnolia grandiflora,Large Tree Routine Prune,24,1,45-50,15-30,Fair,Fair,5,,,Fair,2,False,False,Planting Strip,,42,6/16/2010,BK,older foliage wilted; root damage;,,Palo Alto,-122.1532748,37.4442269,False,False,False,,None,109,170,,"Tree: 98 site 2 at 483 ADDISON AV, on ADDISON AV 42 from pl","<Point><coordinates>-122.153242,37.444234</coordinates></Point>",small_green
99,True,99,,,ADDISON AV,WAVERLEY ST,COWPER ST,ADDISON AV,483,,Front,,3,Magnolia grandiflora,Large Tree Routine Prune,25,1,35-40,30-45,Fair,Fair,5,,,Fair,2,False,False,Planting Strip,,84,6/16/2010,BK,crown dieback; root damage;,,Palo Alto,-122.1531851,37.4443174,False,False,False,,None,110,170,,"Tree: 99 site 3 at 483 ADDISON AV, on ADDISON AV 84 from pl","<Point><coordinates>-122.153152,37.444325</coordinates></Point>",small_green
